Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp,OhmsAdj0,OhmsAdj1,OhmsAdj2,OhmsAdj3
19Jan19_Tst2,01/19/19 06:49, 1241117, 116, 676, 1184, 471, 5.82, 16.31,869032,81,473,829
19Jan19_Tst2,01/19/19 06:51, 1270894, 116, 677, 1183, 471, 5.79, 16.31,889882,81,474,828
19Jan19_Tst2,01/19/19 06:53, 1191131, 116, 677, 1184, 471, 5.80, 16.31,834031,81,474,829
19Jan19_Tst2,01/19/19 06:55, 1254367, 116, 677, 1184, 471, 5.80, 16.31,878309,81,474,829
19Jan19_Tst2,01/19/19 06:57, 1176548, 116, 677, 1184, 471, 5.80, 16.38,826413,81,475,831
19Jan19_Tst2,01/19/19 06:59, 1303172, 116, 677, 1184, 471, 5.80, 16.38,915354,81,475,831
19Jan19_Tst2,01/19/19 07:02, 1217709, 116, 677, 1184, 471, 5.80, 16.38,855324,81,475,831
19Jan19_Tst2,01/19/19 07:04, 1303172, 116, 676, 1184, 471, 5.81, 16.38,915354,81,474,831
19Jan19_Tst2,01/19/19 07:06, 1206928, 116, 677, 1184, 471, 5.79, 16.38,847752,81,475,831
19Jan19_Tst2,01/19/19 07:08, 1254367, 116, 677, 1184, 471, 5.80, 16.38,881073,81,475,831
19Jan19_Tst2,01/19/19 07:10, 1233664, 116, 677, 1184, 471, 5.81, 16.38,866531,81,475,831
19Jan19_Tst2,01/19/19 07:12, 1228993, 116, 677, 1184, 471, 5.80, 16.38,863250,81,475,831
19Jan19_Tst2,01/19/19 07:14, 1170918, 116, 677, 1184, 471, 5.80, 16.38,822458,81,475,831
19Jan19_Tst2,01/19/19 07:16, 1239678, 116, 677, 1184, 471, 5.80, 16.38,870756,81,475,831
19Jan19_Tst2,01/19/19 07:18, 1270894, 116, 677, 1184, 471, 5.80, 16.38,892682,81,475,831
19Jan19_Tst2,01/19/19 07:21, 1235007, 116, 677, 1184, 471, 5.80, 16.44,869821,81,476,833
19Jan19_Tst2,01/19/19 07:23, 1193525, 116, 677, 1184, 471, 5.80, 16.44,840605,81,476,833
19Jan19_Tst2,01/19/19 07:25, 1308061, 116, 676, 1184, 471, 5.80, 16.44,921273,81,476,833
19Jan19_Tst2,01/19/19 07:27, 1165673, 116, 677, 1184, 471, 5.80, 16.44,820988,81,476,833
19Jan19_Tst2,01/19/19 07:29, 1233664, 116, 677, 1184, 471, 5.81, 16.44,868875,81,476,833
19Jan19_Tst2,01/19/19 07:31, 1170918, 116, 677, 1184, 471, 5.80, 16.44,824683,81,476,833
19Jan19_Tst2,01/19/19 07:33, 1251334, 116, 677, 1184, 471, 5.81, 16.50,883710,81,478,836
19Jan19_Tst2,01/19/19 07:35, 1202615, 116, 677, 1184, 471, 5.82, 16.50,849304,81,478,836
19Jan19_Tst2,01/19/19 07:37, 1237331, 116, 677, 1184, 471, 5.82, 16.50,873821,81,478,836
19Jan19_Tst2,01/19/19 07:39, 1170485, 116, 677, 1184, 471, 5.82, 16.50,826613,81,478,836
19Jan19_Tst2,01/19/19 07:42, 1282257, 116, 677, 1184, 471, 5.82, 16.50,905548,81,478,836
